ECT,RPM,label,split,original_index
3.125,18.0,anomaly,test,162902
-5.46875,11.0,anomaly,test,162903
-5.46875,11.0,anomaly,test,162904
-5.46875,11.0,anomaly,test,162905
-5.46875,11.0,anomaly,test,162906
-5.46875,18.0,anomaly,test,162907
-5.46875,18.0,anomaly,test,162908
-5.46875,18.0,anomaly,test,162909
-5.46875,18.0,anomaly,test,162910
2.34375,24.0,anomaly,test,162911
2.34375,24.0,anomaly,test,162912
2.34375,24.0,anomaly,test,162913
-0.78125,25.0,anomaly,test,162914
-0.78125,25.0,anomaly,test,162915
-0.78125,25.0,anomaly,test,162916
-0.78125,25.0,anomaly,test,162917
2.34375,28.0,anomaly,test,162918
2.34375,28.0,anomaly,test,162919
2.34375,28.0,anomaly,test,162920
2.34375,28.0,anomaly,test,162921
3.125,28.0,anomaly,test,162922
3.125,28.0,anomaly,test,162923
3.125,28.0,anomaly,test,162924
3.125,28.0,anomaly,test,162925
3.125,26.0,anomaly,test,162926
3.125,26.0,anomaly,test,162927
3.125,26.0,anomaly,test,162928
3.125,23.0,anomaly,test,162929
3.125,23.0,anomaly,test,162930
3.125,23.0,anomaly,test,162931
3.125,23.0,anomaly,test,162932
3.125,18.0,anomaly,test,162933
3.125,18.0,anomaly,test,162934
3.125,18.0,anomaly,test,162935
3.125,18.0,anomaly,test,162936
3.125,10.0,anomaly,test,162937
3.125,10.0,anomaly,test,162938
3.125,10.0,anomaly,test,162939
3.125,5.0,anomaly,test,162940
3.125,5.0,anomaly,test,162941
3.125,5.0,anomaly,test,162942
3.125,5.0,anomaly,test,162943
-5.46875,6.0,anomaly,test,162944
-5.46875,6.0,anomaly,test,162945
-5.46875,6.0,anomaly,test,162946
-5.46875,6.0,anomaly,test,162947
-5.46875,13.0,anomaly,test,162948
-5.46875,13.0,anomaly,test,162949
-5.46875,13.0,anomaly,test,162950
3.125,23.0,anomaly,test,162951
3.125,23.0,anomaly,test,162952
3.125,23.0,anomaly,test,162953
3.125,23.0,anomaly,test,162954
-5.46875,26.0,anomaly,test,162955
-5.46875,26.0,anomaly,test,162956
-5.46875,26.0,anomaly,test,162957
-3.125,26.0,anomaly,test,162958
-3.125,33.0,anomaly,test,162959
-3.125,33.0,anomaly,test,162960
-3.125,33.0,anomaly,test,162961
0.78125,37.0,anomaly,test,162962
0.78125,37.0,anomaly,test,162963
0.78125,37.0,anomaly,test,162964
0.78125,37.0,anomaly,test,162965
-5.46875,37.0,anomaly,test,162966
-5.46875,37.0,anomaly,test,162967
-5.46875,37.0,anomaly,test,162968
-5.46875,37.0,anomaly,test,162969
-5.46875,41.0,anomaly,test,162970
-5.46875,41.0,anomaly,test,162971
-5.46875,41.0,anomaly,test,162972
-0.78125,45.0,anomaly,test,162973
-0.78125,45.0,anomaly,test,162974
-0.78125,45.0,anomaly,test,162975
-0.78125,45.0,anomaly,test,162976
3.125,45.0,anomaly,test,162977
3.125,45.0,anomaly,test,162978
3.125,45.0,anomaly,test,162979
3.125,45.0,anomaly,test,162980
3.125,44.0,anomaly,test,162981
3.125,44.0,anomaly,test,162982
3.125,44.0,anomaly,test,162983
3.125,42.0,anomaly,test,162984
3.125,42.0,anomaly,test,162985
3.125,42.0,anomaly,test,162986
3.125,42.0,anomaly,test,162987
3.125,37.0,anomaly,test,162988
3.125,37.0,anomaly,test,162989
3.125,37.0,anomaly,test,162990
3.125,37.0,anomaly,test,162991
3.125,28.0,anomaly,test,162992
3.125,28.0,anomaly,test,162993
3.125,28.0,anomaly,test,162994
3.125,14.0,anomaly,test,162995
3.125,14.0,anomaly,test,162996
3.125,14.0,anomaly,test,162997
3.125,14.0,anomaly,test,162998
3.125,10.0,anomaly,test,162999
3.125,10.0,anomaly,test,163000
3.125,10.0,anomaly,test,163001
3.125,10.0,anomaly,test,163002
3.125,9.0,anomaly,test,163003
3.125,9.0,anomaly,test,163004
3.125,9.0,anomaly,test,163005
3.125,9.0,anomaly,test,163006
3.125,9.0,anomaly,test,163007
3.125,9.0,anomaly,test,163008
3.125,9.0,anomaly,test,163009
3.125,7.0,anomaly,test,163010
3.125,7.0,anomaly,test,163011
3.125,7.0,anomaly,test,163012
3.125,7.0,anomaly,test,163013
3.125,3.0,anomaly,test,163014
3.125,3.0,anomaly,test,163015
3.125,3.0,anomaly,test,163016
3.125,0.0,anomaly,test,163017
3.125,0.0,anomaly,test,163018
3.125,0.0,anomaly,test,163019
3.125,0.0,anomaly,test,163020
3.125,0.0,anomaly,test,163021
3.125,0.0,anomaly,test,163022
3.125,0.0,anomaly,test,163023
3.125,0.0,anomaly,test,163024
3.125,0.0,anomaly,test,163025
3.125,0.0,anomaly,test,163026
3.125,0.0,anomaly,test,163027
0.78125,0.0,anomaly,test,163028
0.78125,0.0,anomaly,test,163029
0.78125,0.0,anomaly,test,163030
0.78125,0.0,anomaly,test,163031
0.78125,0.0,anomaly,test,163032
5.46875,0.0,anomaly,test,163033
5.46875,0.0,anomaly,test,163034
5.46875,0.0,anomaly,test,163035
5.46875,0.0,anomaly,test,163036
6.25,0.0,anomaly,test,163037
6.25,0.0,anomaly,test,163038
6.25,0.0,anomaly,test,163039
6.25,0.0,anomaly,test,163040
5.46875,0.0,anomaly,test,163041
5.46875,0.0,anomaly,test,163042
5.46875,0.0,anomaly,test,163043
1.5625,0.0,anomaly,test,163044
1.5625,0.0,anomaly,test,163045
1.5625,0.0,anomaly,test,163046
1.5625,0.0,anomaly,test,163047
2.34375,6.0,anomaly,test,163048
2.34375,6.0,anomaly,test,163049
2.34375,6.0,anomaly,test,163050
2.34375,6.0,anomaly,test,163051
6.25,8.0,anomaly,test,163052
6.25,8.0,anomaly,test,163053
6.25,8.0,anomaly,test,163054
6.25,8.0,anomaly,test,163055
6.25,10.0,anomaly,test,163056
6.25,10.0,anomaly,test,163057
6.25,10.0,anomaly,test,163058
6.25,6.0,anomaly,test,163059
6.25,6.0,anomaly,test,163060
6.25,6.0,anomaly,test,163061
6.25,6.0,anomaly,test,163062
6.25,4.0,anomaly,test,163063
6.25,4.0,anomaly,test,163064
6.25,4.0,anomaly,test,163065
3.125,4.0,anomaly,test,163066
3.125,4.0,anomaly,test,163067
3.125,4.0,anomaly,test,163068
3.125,4.0,anomaly,test,163069
3.125,4.0,anomaly,test,163070
3.125,4.0,anomaly,test,163071
3.125,4.0,anomaly,test,163072
3.125,4.0,anomaly,test,163073
3.125,3.0,anomaly,test,163074
3.125,3.0,anomaly,test,163075
3.125,3.0,anomaly,test,163076
3.125,3.0,anomaly,test,163077
3.125,3.0,anomaly,test,163078
3.125,3.0,anomaly,test,163079
3.125,3.0,anomaly,test,163080
0.78125,5.0,anomaly,test,163081
0.78125,5.0,anomaly,test,163082
0.78125,5.0,anomaly,test,163083
0.78125,5.0,anomaly,test,163084
0.78125,11.0,anomaly,test,163085
0.78125,11.0,anomaly,test,163086
0.78125,11.0,anomaly,test,163087
0.78125,11.0,anomaly,test,163088
0.0,17.0,anomaly,test,163089
0.0,17.0,anomaly,test,163090
0.0,17.0,anomaly,test,163091
0.0,17.0,anomaly,test,163092
0.0,24.0,anomaly,test,163093
0.0,24.0,anomaly,test,163094
0.0,24.0,anomaly,test,163095
3.125,26.0,anomaly,test,163096
3.125,26.0,anomaly,test,163097
3.125,26.0,anomaly,test,163098
3.125,26.0,anomaly,test,163099
3.125,25.0,anomaly,test,163100
3.125,25.0,anomaly,test,163101
